Unnamed: 0,Trial,AoI,Onset,Offset,Duration,Feature,Block
7,1,3.0,1.48,1.484,0.004,5.0,1
9,1,10.0,1.616,1.64,0.024,10.0,1
10,1,3.0,1.644,1.68,0.0359999999999998,5.0,1
11,1,2.0,1.684,2.38,0.696,1.0,1
12,1,3.0,2.384,2.58,0.1960000000000001,5.0,1
14,1,2.0,2.588,2.656,0.068,1.0,1
15,1,10.0,2.66,2.664,0.004,10.0,1
16,1,2.0,2.668,2.84,0.1719999999999997,1.0,1
17,1,1.0,2.844,3.472,0.6280000000000001,9.0,1
18,1,10.0,3.476,4.0120000000000005,0.5360000000000005,10.0,1
31,2,10.0,1.784,1.788,0.004,10.0,1
32,2,4.0,1.792,1.916,0.1240000000000001,9.0,1
33,2,5.0,1.92,1.924,0.004,2.0,1
36,2,10.0,2.084,2.092,0.008,10.0,1
37,2,6.0,2.096,2.108,0.012,6.0,1
39,2,5.0,2.116,2.14,0.024,2.0,1
40,2,4.0,2.144,2.224,0.08,9.0,1
41,2,10.0,2.228,2.232,0.004,10.0,1
42,2,1.0,2.236,3.244,1.008,8.0,1
43,2,2.0,3.248,3.252,0.004,3.0,1
46,2,10.0,3.464,3.476,0.012,10.0,1
47,2,6.0,3.48,3.492,0.012,6.0,1
48,2,5.0,3.496,3.528,0.032,2.0,1
50,2,4.0,3.536,4.008,0.472,9.0,1
54,3,2.0,0.684,0.6880000000000001,0.004,3.0,1
57,3,10.0,0.884,0.916,0.032,10.0,1
58,3,3.0,0.92,1.008,0.0879999999999999,5.0,1
59,3,10.0,1.012,1.028,0.016,10.0,1
60,3,2.0,1.032,1.048,0.016,3.0,1
61,3,1.0,1.052,2.76,1.7080000000000002,7.0,1
62,3,10.0,2.764,2.88,0.1159999999999996,10.0,1
63,3,1.0,2.884,2.948,0.064,7.0,1
65,3,2.0,2.956,3.22,0.2640000000000002,3.0,1
67,3,10.0,3.228,3.232,0.004,10.0,1
68,3,10.0,3.528,3.788,0.2600000000000002,10.0,1
69,3,6.0,3.792,4.008,0.2159999999999997,4.0,1
78,4,10.0,1.196,1.236,0.04,10.0,1
79,4,2.0,1.24,1.264,0.024,2.0,1
82,4,10.0,1.428,1.444,0.016,10.0,1
83,4,3.0,1.448,1.468,0.02,6.0,1
84,4,2.0,1.472,1.992,0.52,2.0,1
86,4,2.0,2.0,3.252,1.2520000000000002,2.0,1
87,4,3.0,3.256,3.26,0.004,6.0,1
88,4,10.0,3.264,3.272,0.008,10.0,1
89,4,10.0,3.448,3.712,0.2640000000000002,10.0,1
