,Unnamed: 0,Trial,AoI,Onset,Offset,Duration,Feature,Block
0,0,1,5.0,0.0,0.208,0.208,6.0,1
1,1,1,4.0,0.212,0.384,0.172,3.0,1
2,2,1,5.0,0.388,1.148,0.7600000000000001,6.0,1
3,18,2,5.0,0.0,0.148,0.148,5.0,1
4,19,2,10.0,0.152,0.156,0.004,10.0,1
5,20,2,8.0,0.16,0.648,0.488,4.0,1
6,35,3,5.0,0.0,0.164,0.164,6.0,1
7,37,3,10.0,0.172,0.176,0.0039999999999999,10.0,1
8,38,3,1.0,0.18,0.276,0.096,1.0,1
9,40,3,4.0,0.284,0.288,0.004,3.0,1
10,42,3,7.0,0.296,0.528,0.232,2.0,1
11,43,3,8.0,0.532,0.928,0.396,4.0,1
12,50,4,5.0,0.0,0.26,0.26,6.0,1
13,51,4,10.0,0.264,0.276,0.012,10.0,1
14,52,4,8.0,0.28,0.42,0.1399999999999999,4.0,1
15,54,4,5.0,0.428,0.436,0.008,6.0,1
16,56,4,2.0,0.444,2.344,1.9,5.0,1
17,69,5,5.0,0.0,0.02,0.02,6.0,1
18,70,5,10.0,0.024,0.028,0.004,10.0,1
19,71,5,5.0,0.032,0.16,0.128,6.0,1
20,75,5,5.0,0.176,0.188,0.012,6.0,1
21,76,5,10.0,0.192,0.2,0.008,10.0,1
22,77,5,5.0,0.204,0.212,0.0079999999999999,6.0,1
23,78,5,10.0,0.216,0.284,0.068,10.0,1
24,79,5,2.0,0.288,0.364,0.0759999999999999,4.0,1
25,81,5,5.0,0.372,0.508,0.136,6.0,1
26,83,5,8.0,0.516,0.528,0.012,5.0,1
27,85,5,8.0,0.536,0.764,0.2279999999999999,5.0,1
28,87,5,7.0,0.772,1.148,0.3760000000000001,3.0,1
29,101,6,5.0,0.0,0.24,0.24,6.0,1
30,102,6,10.0,0.244,0.248,0.004,10.0,1
31,103,6,8.0,0.252,0.396,0.144,4.0,1
32,104,6,10.0,0.4,0.404,0.004,10.0,1
33,105,6,5.0,0.408,0.412,0.004,6.0,1
34,107,6,2.0,0.42,2.88,2.46,5.0,1
35,115,7,5.0,0.0,0.236,0.236,4.0,1
36,117,7,2.0,0.244,2.716,2.4720000000000004,5.0,1
37,122,8,5.0,0.0,0.224,0.224,6.0,1
38,124,8,2.0,0.232,3.012,2.78,5.0,1
39,133,9,5.0,0.0,0.036,0.036,6.0,1
40,134,9,10.0,0.04,0.048,0.008,10.0,1
41,135,9,5.0,0.052,0.252,0.2,6.0,1
42,137,9,8.0,0.26,0.316,0.0559999999999999,4.0,1
43,138,9,10.0,0.32,0.324,0.004,10.0,1
44,139,9,5.0,0.328,0.344,0.016,6.0,1
45,140,9,10.0,0.348,0.744,0.3959999999999999,10.0,1
46,156,10,5.0,0.0,0.236,0.236,6.0,1
47,158,10,2.0,0.244,0.916,0.672,5.0,1
48,167,11,5.0,0.0,0.26,0.26,4.0,1
49,169,11,8.0,0.268,1.256,0.988,5.0,1
50,184,12,5.0,0.0,0.248,0.248,4.0,1
51,186,12,2.0,0.256,3.2880000000000003,3.032,5.0,1
52,189,13,5.0,0.0,0.28,0.28,4.0,1
53,190,13,10.0,0.284,0.288,0.004,10.0,1
54,191,13,8.0,0.292,0.296,0.004,6.0,1
55,192,13,10.0,0.3,0.364,0.064,10.0,1
56,193,13,5.0,0.368,0.38,0.012,4.0,1
57,195,13,2.0,0.388,1.224,0.836,5.0,1
58,209,14,2.0,0.0,0.228,0.228,5.0,1
59,211,14,5.0,0.236,0.34,0.104,4.0,1
60,213,14,2.0,0.348,0.6,0.2519999999999999,5.0,1
61,228,15,2.0,0.0,0.368,0.368,5.0,1
62,229,15,1.0,0.372,0.608,0.236,3.0,1
63,242,16,2.0,0.0,0.232,0.232,5.0,1
64,243,16,5.0,0.236,0.3,0.0639999999999999,4.0,1
65,246,16,1.0,0.312,0.32,0.008,3.0,1
66,247,16,10.0,0.324,0.52,0.196,10.0,1
67,266,17,2.0,0.0,0.312,0.312,6.0,1
68,268,17,5.0,0.32,0.536,0.216,5.0,1
69,269,17,4.0,0.54,0.768,0.2279999999999999,3.0,1
70,278,18,2.0,0.0,0.296,0.296,5.0,1
71,279,18,1.0,0.3,0.508,0.208,1.0,1
72,297,19,4.0,0.0,0.008,0.008,2.0,1
73,298,19,10.0,0.012,0.016,0.004,10.0,1
74,299,19,1.0,0.02,0.212,0.192,3.0,1
75,300,19,10.0,0.216,0.22,0.004,10.0,1
76,301,19,4.0,0.224,0.26,0.036,2.0,1
77,303,19,1.0,0.268,0.444,0.176,3.0,1
78,304,19,2.0,0.448,0.968,0.52,5.0,1
79,320,20,5.0,0.0,0.176,0.176,4.0,1
80,321,20,4.0,0.18,0.288,0.108,2.0,1
81,323,20,1.0,0.296,0.476,0.18,3.0,1
82,324,20,2.0,0.48,1.284,0.804,5.0,1
83,350,21,2.0,0.0,0.364,0.364,5.0,1
84,351,21,3.0,0.368,0.464,0.096,8.0,1
85,352,21,10.0,0.468,0.472,0.004,10.0,1
86,353,21,2.0,0.476,2.188,1.7120000000000002,5.0,1
87,377,22,7.0,0.0,0.032,0.032,3.0,1
88,378,22,10.0,0.036,0.044,0.0079999999999999,10.0,1
