Unnamed: 0,Trial,AoI,Onset,Offset,Duration,Feature,Block
6,1,3.0,2.2960000000000003,2.484,0.1879999999999997,1.0,1
7,1,2.0,2.488,2.5,0.012,7.0,1
8,1,1.0,2.504,2.86,0.3559999999999998,5.0,1
9,1,2.0,2.864,3.112,0.2480000000000002,7.0,1
10,1,1.0,3.116,3.212,0.096,5.0,1
11,1,10.0,3.216,3.22,0.004,10.0,1
12,1,4.0,3.224,3.232,0.008,6.0,1
13,1,10.0,3.236,3.46,0.2239999999999997,10.0,1
14,1,4.0,3.464,3.468,0.004,6.0,1
16,1,5.0,3.476,4.0120000000000005,0.5360000000000005,8.0,1
29,2,10.0,2.056,2.06,0.004,10.0,1
30,2,5.0,2.064,2.268,0.2040000000000001,7.0,1
31,2,10.0,2.272,2.28,0.008,10.0,1
33,2,10.0,2.2880000000000003,2.912,0.6239999999999997,10.0,1
34,2,10.0,3.048,3.076,0.028,10.0,1
35,2,5.0,3.08,3.112,0.032,7.0,1
36,2,10.0,3.116,3.136,0.02,10.0,1
37,2,5.0,3.14,4.008,0.8679999999999999,7.0,1
53,3,2.0,2.408,2.724,0.3160000000000003,9.0,1
54,3,3.0,2.728,2.848,0.1199999999999996,2.0,1
55,3,2.0,2.852,2.86,0.008,9.0,1
56,3,1.0,2.864,3.22,0.3560000000000003,5.0,1
58,3,4.0,3.228,3.232,0.004,6.0,1
59,3,5.0,3.236,3.24,0.004,8.0,1
60,3,10.0,3.244,3.248,0.004,10.0,1
61,3,5.0,3.252,3.26,0.008,8.0,1
62,3,10.0,3.264,3.412,0.1479999999999997,10.0,1
63,3,5.0,3.416,3.476,0.06,8.0,1
64,3,10.0,3.48,3.488,0.008,10.0,1
65,3,5.0,3.492,4.0120000000000005,0.5200000000000005,8.0,1
81,4,3.0,2.3040000000000003,2.588,0.2839999999999998,2.0,1
83,4,2.0,2.596,2.608,0.012,9.0,1
84,4,1.0,2.612,3.012,0.3999999999999999,6.0,1
85,4,2.0,3.016,3.02,0.004,9.0,1
87,4,10.0,3.172,3.184,0.012,10.0,1
88,4,6.0,3.188,3.196,0.008,3.0,1
89,4,5.0,3.2,3.224,0.024,8.0,1
91,4,4.0,3.232,3.26,0.028,5.0,1
92,4,10.0,3.264,3.3040000000000003,0.04,10.0,1
94,4,10.0,3.3120000000000003,3.3200000000000003,0.008,10.0,1
95,4,5.0,3.3240000000000003,3.336,0.0119999999999995,8.0,1
96,4,10.0,3.34,3.36,0.02,10.0,1
97,4,5.0,3.364,4.008,0.6440000000000001,8.0,1
109,5,8.0,2.264,2.272,0.008,8.0,1
110,5,9.0,2.276,3.208,0.932,2.0,1
111,5,10.0,3.212,3.224,0.012,10.0,1
112,5,5.0,3.228,3.904,0.6759999999999997,9.0,1
115,5,10.0,3.916,3.94,0.024,10.0,1
118,5,6.0,3.952,4.008,0.056,3.0,1
127,6,9.0,2.332,2.892,0.56,2.0,1
128,6,8.0,2.896,3.268,0.3720000000000003,9.0,1
129,6,10.0,3.272,3.28,0.008,10.0,1
130,6,5.0,3.2840000000000003,3.916,0.6319999999999997,8.0,1
131,6,6.0,3.92,4.0120000000000005,0.0920000000000005,1.0,1
148,7,8.0,2.2920000000000003,2.648,0.3559999999999998,8.0,1
149,7,10.0,2.652,3.204,0.552,10.0,1
150,7,8.0,3.208,3.22,0.012,8.0,1
151,7,10.0,3.224,3.232,0.008,10.0,1
152,7,5.0,3.236,4.008,0.7719999999999998,9.0,1
158,8,10.0,3.208,3.212,0.004,10.0,1
159,8,5.0,3.216,4.0120000000000005,0.7960000000000003,7.0,1
