Subj,Trial,Game,Stim11,Stim12,Stim13,Stim21,Stim22,Stim23,Stim31,Stim32,Stim33,Choice,Chosen1,Chosen2,Chosen3,Unchosen1,Unchosen2,Unchosen3,Unchosen4,Unchosen5,Unchosen6,Outcome,Dim,Feat,CenterDim,CenterFeat,Correct,LearnedFeat,PoL,RT
23,1,1,1,6,8,2,5,7,3,4,9,2,2,5,7,1,3,4,6,8,9,1,1,2,NaN,NaN,1,NaN,NaN,1.127
23,2,1,2,5,7,1,4,8,3,6,9,1,2,5,7,1,3,4,6,8,9,1,1,2,NaN,NaN,1,NaN,NaN,1.0858
23,3,1,3,4,7,2,5,9,1,6,8,1,3,4,7,1,2,5,6,8,9,0,1,2,NaN,NaN,0,NaN,NaN,1.2442
23,4,1,1,4,7,2,5,8,3,6,9,2,2,5,8,1,3,4,6,7,9,0,1,2,NaN,NaN,1,NaN,NaN,0.47509
23,5,1,1,6,8,2,4,7,3,5,9,2,2,4,7,1,3,5,6,8,9,1,1,2,NaN,NaN,1,NaN,NaN,0.8809
23,6,1,3,6,8,1,5,7,2,4,9,3,2,4,9,1,3,5,6,7,8,1,1,2,NaN,NaN,1,NaN,NaN,1.2634
23,7,1,1,5,8,3,6,7,2,4,9,3,2,4,9,1,3,5,6,7,8,0,1,2,NaN,NaN,1,NaN,NaN,0.52625
23,8,1,1,4,8,2,5,7,3,6,9,2,2,5,7,1,3,4,6,8,9,0,1,2,NaN,NaN,1,NaN,NaN,0.42968
23,9,1,1,5,7,2,4,9,3,6,8,3,3,6,8,1,2,4,5,7,9,0,1,2,NaN,NaN,0,NaN,NaN,0.92338
23,10,1,2,6,7,1,5,8,3,4,9,2,1,5,8,2,3,4,6,7,9,0,1,2,NaN,NaN,0,NaN,NaN,0.55373
23,11,1,2,5,7,1,6,9,3,4,8,1,2,5,7,1,3,4,6,8,9,1,1,2,NaN,NaN,1,NaN,NaN,0.7216
23,12,1,2,4,9,1,5,7,3,6,8,1,2,4,9,1,3,5,6,7,8,1,1,2,NaN,NaN,1,NaN,NaN,1.2475
23,13,1,2,5,9,3,6,8,1,4,7,1,2,5,9,1,3,4,6,7,8,0,1,2,NaN,NaN,1,NaN,NaN,0.5745
23,14,1,3,4,8,1,6,9,2,5,7,3,2,5,7,1,3,4,6,8,9,1,1,2,NaN,NaN,1,NaN,NaN,0.54083
23,15,1,1,6,9,2,5,7,3,4,8,3,3,4,8,1,2,5,6,7,9,1,1,2,NaN,NaN,0,NaN,NaN,0.69957
23,16,1,1,6,7,3,5,8,2,4,9,3,2,4,9,1,3,5,6,7,8,1,1,2,NaN,NaN,1,NaN,NaN,1.2026
23,17,1,3,4,7,2,6,8,1,5,9,1,3,4,7,1,2,5,6,8,9,0,1,2,NaN,NaN,0,NaN,NaN,0.63359
23,18,1,1,5,7,3,4,9,2,6,8,3,2,6,8,1,3,4,5,7,9,1,1,2,NaN,NaN,1,NaN,NaN,0.64029
23,19,1,2,5,8,1,4,9,3,6,7,1,2,5,8,1,3,4,6,7,9,1,1,2,NaN,NaN,1,NaN,NaN,0.9829
23,20,1,2,6,7,3,4,9,1,5,8,1,2,6,7,1,3,4,5,8,9,1,1,2,NaN,NaN,1,NaN,NaN,1.0524
23,21,2,2,4,8,3,6,9,1,5,7,3,1,5,7,2,3,4,6,8,9,0,2,6,NaN,NaN,0,NaN,NaN,1.3494
23,22,2,2,6,9,1,4,8,3,5,7,1,2,6,9,1,3,4,5,7,8,0,2,6,NaN,NaN,1,NaN,NaN,0.55658
23,23,2,1,6,9,2,5,7,3,4,8,1,1,6,9,2,3,4,5,7,8,1,2,6,NaN,NaN,1,NaN,NaN,1.2917
23,24,2,2,5,8,1,6,9,3,4,7,2,1,6,9,2,3,4,5,7,8,1,2,6,NaN,NaN,1,NaN,NaN,1.2182
23,25,2,3,5,9,1,6,7,2,4,8,2,1,6,7,2,3,4,5,8,9,0,2,6,NaN,NaN,1,NaN,NaN,1.7524
23,26,2,1,4,9,2,5,8,3,6,7,1,1,4,9,2,3,5,6,7,8,0,2,6,NaN,NaN,0,NaN,NaN,0.67176
23,27,2,2,6,8,3,4,7,1,5,9,1,2,6,8,1,3,4,5,7,9,1,2,6,NaN,NaN,1,NaN,NaN,0.70969
23,28,2,2,6,9,3,4,7,1,5,8,1,2,6,9,1,3,4,5,7,8,1,2,6,NaN,NaN,1,NaN,NaN,0.53196
23,29,2,3,4,9,2,5,8,1,6,7,3,1,6,7,2,3,4,5,8,9,0,2,6,NaN,NaN,1,NaN,NaN,0.89136
23,30,2,1,6,9,2,4,7,3,5,8,1,1,6,9,2,3,4,5,7,8,1,2,6,NaN,NaN,1,NaN,NaN,0.56151
23,31,2,1,4,8,2,5,9,3,6,7,3,3,6,7,1,2,4,5,8,9,1,2,6,NaN,NaN,1,NaN,NaN,0.84899
23,32,2,1,5,8,2,4,9,3,6,7,3,3,6,7,1,2,4,5,8,9,1,2,6,NaN,NaN,1,NaN,NaN,0.5676
23,33,2,2,6,8,3,4,9,1,5,7,1,2,6,8,1,3,4,5,7,9,1,2,6,NaN,NaN,1,NaN,NaN,0.81435
23,34,2,1,6,9,2,4,8,3,5,7,1,1,6,9,2,3,4,5,7,8,0,2,6,NaN,NaN,1,NaN,NaN,0.59681
23,35,2,1,5,9,3,4,8,2,6,7,3,2,6,7,1,3,4,5,8,9,0,2,6,NaN,NaN,1,NaN,NaN,0.71425
23,36,2,1,4,7,3,6,8,2,5,9,2,3,6,8,1,2,4,5,7,9,1,2,6,NaN,NaN,1,NaN,NaN,0.73832
23,37,2,3,5,8,1,4,7,2,6,9,3,2,6,9,1,3,4,5,7,8,1,2,6,NaN,NaN,1,NaN,NaN,0.53602
23,38,2,1,6,9,2,4,8,3,5,7,1,1,6,9,2,3,4,5,7,8,1,2,6,NaN,NaN,1,NaN,NaN,0.86293
23,39,2,3,4,8,1,5,7,2,6,9,3,2,6,9,1,3,4,5,7,8,1,2,6,NaN,NaN,1,NaN,NaN,0.55731
23,40,2,3,5,8,1,4,7,2,6,9,3,2,6,9,1,3,4,5,7,8,1,2,6,NaN,NaN,1,NaN,NaN,0.62879
23,41,3,3,5,9,2,4,7,1,6,8,2,2,4,7,1,3,5,6,8,9,1,2,6,NaN,NaN,0,NaN,NaN,1.2593
23,42,3,1,5,7,2,6,8,3,4,9,1,1,5,7,2,3,4,6,8,9,0,2,6,NaN,NaN,0,NaN,NaN,0.42485
23,43,3,3,5,9,1,6,7,2,4,8,3,2,4,8,1,3,5,6,7,9,0,2,6,NaN,NaN,0,NaN,NaN,0.70461
23,44,3,1,4,7,2,6,9,3,5,8,1,1,4,7,2,3,5,6,8,9,1,2,6,NaN,NaN,0,NaN,NaN,0.71837
23,45,3,2,4,9,1,6,7,3,5,8,2,1,6,7,2,3,4,5,8,9,1,2,6,NaN,NaN,1,NaN,NaN,0.62876
23,46,3,3,5,9,2,4,8,1,6,7,3,1,6,7,2,3,4,5,8,9,1,2,6,NaN,NaN,1,NaN,NaN,0.58812
23,47,3,3,4,8,1,5,9,2,6,7,3,2,6,7,1,3,4,5,8,9,0,2,6,NaN,NaN,1,NaN,NaN,0.54608
23,48,3,3,4,8,2,5,7,1,6,9,2,2,5,7,1,3,4,6,8,9,0,2,6,NaN,NaN,0,NaN,NaN,0.39406
23,49,3,3,6,7,1,4,9,2,5,8,1,3,6,7,1,2,4,5,8,9,1,2,6,NaN,NaN,1,NaN,NaN,0.83249
23,50,3,1,5,9,2,6,7,3,4,8,2,2,6,7,1,3,4,5,8,9,1,2,6,NaN,NaN,1,NaN,NaN,0.48743
23,51,3,2,6,9,1,4,8,3,5,7,3,3,5,7,1,2,4,6,8,9,0,2,6,NaN,NaN,0,NaN,NaN,0.78993
23,52,3,3,6,8,1,5,9,2,4,7,3,2,4,7,1,3,5,6,8,9,0,2,6,NaN,NaN,0,NaN,NaN,0.5234
23,53,3,2,6,7,1,5,9,3,4,8,1,2,6,7,1,3,4,5,8,9,0,2,6,NaN,NaN,1,NaN,NaN,0.82727
23,54,3,2,6,7,3,4,9,1,5,8,2,3,4,9,1,2,5,6,7,8,1,2,6,NaN,NaN,0,NaN,NaN,0.84908
23,55,3,1,6,9,3,4,7,2,5,8,1,1,6,9,2,3,4,5,7,8,1,2,6,NaN,NaN,1,NaN,NaN,1.1684
23,56,3,3,5,8,2,4,7,1,6,9,3,1,6,9,2,3,4,5,7,8,1,2,6,NaN,NaN,1,NaN,NaN,0.38995
23,57,3,1,6,9,3,4,7,2,5,8,1,1,6,9,2,3,4,5,7,8,0,2,6,NaN,NaN,1,NaN,NaN,0.53403
23,58,3,1,5,8,2,4,9,3,6,7,2,2,4,9,1,3,5,6,7,8,0,2,6,NaN,NaN,0,NaN,NaN,0.45239
23,59,3,1,4,9,3,5,7,2,6,8,1,1,4,9,2,3,5,6,7,8,0,2,6,NaN,NaN,0,NaN,NaN,0.69018
23,60,3,2,6,9,3,5,8,1,4,7,3,1,4,7,2,3,5,6,8,9,0,2,6,NaN,NaN,0,NaN,NaN,0.51366
23,61,4,3,4,7,1,6,9,2,5,8,2,1,6,9,2,3,4,5,7,8,1,3,9,NaN,NaN,1,NaN,NaN,1.4131
23,62,4,2,6,8,3,4,9,1,5,7,2,3,4,9,1,2,5,6,7,8,1,3,9,NaN,NaN,1,NaN,NaN,0.53177
23,63,4,3,5,9,1,4,8,2,6,7,1,3,5,9,1,2,4,6,7,8,1,3,9,NaN,NaN,1,NaN,NaN,0.65855
23,64,4,2,6,7,1,5,8,3,4,9,2,1,5,8,2,3,4,6,7,9,0,3,9,NaN,NaN,0,NaN,NaN,0.80166
