,Subj,Trial,Game,Stim11,Stim12,Stim13,Stim21,Stim22,Stim23,Stim31,Stim32,Stim33,Choice,Chosen1,Chosen2,Chosen3,Unchosen1,Unchosen2,Unchosen3,Unchosen4,Unchosen5,Unchosen6,Outcome,Dim,Feat,CenterDim,CenterFeat,Correct,LearnedFeat,PoL,RT,WithinGameTrial,Adult,Age,Block,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,TotalLookingTime,FeatureEntropy,Animals,Landscapes,Objects,DimensionEntropy
0,23,1,1,1,6,8,2,5,7,3,4,9,2.0,2.0,5.0,7.0,1.0,3.0,4.0,6.0,8.0,9.0,1.0,1,2,0.0,0.0,1.0,True,0.0,1.127,1,False,15.12,1,0.15999999999999998,0.17714285714285707,0.0,0.0,0.14571428571428577,0.0,0.4885714285714287,0.019999999999999934,0.0,0.008571428571428575,1.3999999999999995,0.5955979144936998,0.3371428571428571,0.14571428571428577,0.5085714285714287,0.9021288382908639
1,23,2,1,2,5,7,1,4,8,3,6,9,1.0,2.0,5.0,7.0,1.0,3.0,4.0,6.0,8.0,9.0,1.0,1,2,0.0,0.0,1.0,True,0.0,1.0858,2,False,15.12,1,0.0,0.20600858369098715,0.0,0.19742489270386268,0.27467811158798283,0.0,0.29613733905579404,0.0,0.0,0.025751072961373286,0.9319999999999999,0.6194484801987655,0.20600858369098715,0.4721030042918455,0.29613733905579404,0.9468124488192121
2,23,3,1,3,4,7,2,5,9,1,6,8,1.0,3.0,4.0,7.0,1.0,2.0,5.0,6.0,8.0,9.0,0.0,1,2,0.0,0.0,0.0,True,0.0,1.2442,3,False,15.12,1,0.0,0.13611111111111107,0.10833333333333335,0.13611111111111115,0.008333333333333335,0.0,0.47777777777777786,0.0,0.11666666666666661,0.01666666666666667,1.4399999999999997,0.6495018611874903,0.2444444444444444,0.1444444444444445,0.5944444444444444,0.8492826469027095
3,23,4,1,1,4,7,2,5,8,3,6,9,2.0,2.0,5.0,8.0,1.0,3.0,4.0,6.0,7.0,9.0,0.0,1,2,0.0,0.0,1.0,True,0.0,0.47509,4,False,15.12,1,0.0,0.5760000000000001,0.0,0.0,0.0,0.0,0.0,0.416,0.0,0.008,0.5,0.3106692702064692,0.5760000000000001,0.0,0.416,0.6213385404129383
4,23,5,1,1,6,8,2,4,7,3,5,9,2.0,2.0,4.0,7.0,1.0,3.0,5.0,6.0,8.0,9.0,1.0,1,2,0.0,0.0,1.0,True,0.0,0.8809,5,False,15.12,1,0.0,0.4197530864197532,0.0,0.2592592592592593,0.0,0.0,0.3045267489711934,0.0,0.0,0.01646090534979414,0.9719999999999999,0.4899112665093003,0.4197530864197532,0.2592592592592593,0.3045267489711934,0.9798225330186006
5,23,6,1,3,6,8,1,5,7,2,4,9,3.0,2.0,4.0,9.0,1.0,3.0,5.0,6.0,7.0,8.0,1.0,1,2,0.0,0.0,1.0,True,0.0,1.2634,6,False,15.12,1,0.0,0.1620879120879121,0.0,0.0,0.0,0.0,0.5054945054945055,0.0,0.32967032967032966,0.0027472527472527475,1.456,0.4576764805871534,0.1620879120879121,0.0,0.8351648351648351,0.405395853884142
6,23,7,1,1,5,8,3,6,7,2,4,9,3.0,2.0,4.0,9.0,1.0,3.0,5.0,6.0,7.0,8.0,0.0,1,2,0.0,0.0,1.0,True,0.0,0.52625,7,False,15.12,1,0.0,0.6767676767676768,0.0,0.0,0.0,0.303030303030303,0.0202020202020202,0.0,0.0,0.0,0.792,0.32079149090262093,0.6767676767676768,0.303030303030303,0.0202020202020202,0.6415829818052419
7,23,8,1,1,4,8,2,5,7,3,6,9,2.0,2.0,5.0,7.0,1.0,3.0,4.0,6.0,8.0,9.0,0.0,1,2,0.0,0.0,1.0,True,0.0,0.42968,8,False,15.12,1,0.0,0.0,0.0,0.0,0.43801652892561993,0.0,0.4628099173553718,0.0,0.0,0.0991735537190083,0.4839999999999999,0.32684359878111857,0.0,0.43801652892561993,0.4628099173553718,0.6536871975622371
8,23,9,1,1,5,7,2,4,9,3,6,8,3.0,3.0,6.0,8.0,1.0,2.0,4.0,5.0,7.0,9.0,0.0,1,2,0.0,0.0,0.0,True,0.0,0.92338,9,False,15.12,1,0.0,0.0,0.15172413793103448,0.0,0.0,0.37586206896551716,0.0,0.26896551724137935,0.0,0.20344827586206896,1.16,0.45834930165023957,0.15172413793103448,0.37586206896551716,0.26896551724137935,0.9166986033004793
9,23,10,1,2,6,7,1,5,8,3,4,9,2.0,1.0,5.0,8.0,2.0,3.0,4.0,6.0,7.0,9.0,0.0,1,2,0.0,0.0,0.0,True,0.0,0.55373,10,False,15.12,1,0.6703910614525139,0.0,0.0,0.0,0.0,0.0,0.00558659217877095,0.10614525139664804,0.0,0.21787709497206706,0.716,0.24355424323948627,0.6703910614525139,0.0,0.11173184357541899,0.46691894887262775
10,23,11,1,2,5,7,1,6,9,3,4,8,1.0,2.0,5.0,7.0,1.0,3.0,4.0,6.0,8.0,9.0,1.0,1,2,0.0,0.0,1.0,True,0.0,0.7216,11,False,15.12,1,0.0,0.19246861924686198,0.0,0.0,0.3640167364016737,0.0,0.2175732217573221,0.0,0.22594142259414232,0.0,0.9559999999999997,0.615751065368798,0.19246861924686198,0.3640167364016737,0.4435146443514644,0.9517474088363709
11,23,12,1,2,4,9,1,5,7,3,6,8,1.0,2.0,4.0,9.0,1.0,3.0,5.0,6.0,7.0,8.0,1.0,1,2,0.0,0.0,1.0,True,0.0,1.2475,12,False,15.12,1,0.0,0.415492957746479,0.0,0.0,0.2640845070422536,0.0,0.14436619718309865,0.0,0.17253521126760568,0.003521126760563117,1.1359999999999997,0.5912575334342907,0.415492957746479,0.2640845070422536,0.31690140845070436,0.9837136243988382
12,23,13,1,2,5,9,3,6,8,1,4,7,1.0,2.0,5.0,9.0,1.0,3.0,4.0,6.0,7.0,8.0,0.0,1,2,0.0,0.0,1.0,True,0.0,0.5745,13,False,15.12,1,0.0,0.2163265306122448,0.0,0.0,0.0,0.0,0.0,0.0,0.7836734693877552,0.0,0.98,0.23767215343739423,0.2163265306122448,0.0,0.7836734693877552,0.47534430687478846
13,23,14,1,3,4,8,1,6,9,2,5,7,3.0,2.0,5.0,7.0,1.0,3.0,4.0,6.0,8.0,9.0,1.0,1,2,0.0,0.0,1.0,True,0.0,0.54083,14,False,15.12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6487804878048781,0.0,0.05853658536585354,0.2926829268292683,0.82,0.20336327944644111,0.0,0.0,0.7073170731707316,0.22294224886267053
14,23,15,1,1,6,9,2,5,7,3,4,8,3.0,3.0,4.0,8.0,1.0,2.0,5.0,6.0,7.0,9.0,1.0,1,2,0.0,0.0,0.0,True,0.0,0.69957,15,False,15.12,1,0.0,0.6315789473684211,0.0,0.0,0.17894736842105263,0.0,0.175438596491228,0.0,0.0,0.014035087719298248,1.14,0.4111933349532648,0.6315789473684211,0.17894736842105263,0.175438596491228,0.8223866699065296
15,23,16,1,1,6,7,3,5,8,2,4,9,3.0,2.0,4.0,9.0,1.0,3.0,5.0,6.0,7.0,8.0,1.0,1,2,0.0,0.0,1.0,True,0.0,1.2026,16,False,15.12,1,0.0,0.2164634146341464,0.0,0.24999999999999992,0.0,0.0,0.11280487804878052,0.19817073170731714,0.1585365853658537,0.06402439024390238,1.3119999999999996,0.6993996814044304,0.2164634146341464,0.24999999999999992,0.46951219512195136,0.9401084700296807
16,23,17,1,3,4,7,2,6,8,1,5,9,1.0,3.0,4.0,7.0,1.0,2.0,5.0,6.0,8.0,9.0,0.0,1,2,0.0,0.0,0.0,True,0.0,0.63359,17,False,15.12,1,0.0,0.45812807881773404,0.0,0.0,0.0,0.0,0.4876847290640394,0.0,0.0,0.05418719211822648,0.8119999999999999,0.322141576338838,0.45812807881773404,0.0,0.4876847290640394,0.644283152677676
