Subj,Trial,Game,Stim11,Stim12,Stim13,Stim21,Stim22,Stim23,Stim31,Stim32,Stim33,Choice,Chosen1,Chosen2,Chosen3,Unchosen1,Unchosen2,Unchosen3,Unchosen4,Unchosen5,Unchosen6,Outcome,Dim,Feat,CenterDim,CenterFeat,Correct,LearnedFeat,RT,WithinGameTrial,PoL,Adult,Age,AgeGroup,Block,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,TotalLookingTime,Entropy
23,1,1,1,6,8,2,5,7,3,4,9,2.0,2.0,5.0,7.0,1.0,3.0,4.0,6.0,8.0,9.0,1.0,1,2,0.0,0.0,1.0,False,1.127,1,18.0,False,15.12,Adolescent,1,0.0,0.0935064935064935,0.0,0.0,0.2363636363636365,0.0,0.6493506493506491,0.0,0.0,0.0207792207792207,1.5400000000000005,0.767231448777108
23,2,1,2,5,7,1,4,8,3,6,9,1.0,2.0,5.0,7.0,1.0,3.0,4.0,6.0,8.0,9.0,1.0,1,2,0.0,0.0,1.0,False,1.0858,2,18.0,False,15.12,Adolescent,1,0.0,0.0075757575757575,0.0,0.005050505050505,0.7020202020202018,0.0,0.0176767676767676,0.2373737373737375,0.0,0.0303030303030303,1.584,0.3246782299146336
23,3,1,3,4,7,2,5,9,1,6,8,1.0,3.0,4.0,7.0,1.0,2.0,5.0,6.0,8.0,9.0,0.0,1,2,0.0,0.0,0.0,False,1.2442,3,18.0,False,15.12,Adolescent,1,0.0,0.0,0.1018099547511312,0.0,0.0,0.0,0.4728506787330315,0.0,0.4253393665158371,0.0,1.7680000000000002,0.5340860363011476
23,4,1,1,4,7,2,5,8,3,6,9,2.0,2.0,5.0,8.0,1.0,3.0,4.0,6.0,7.0,9.0,0.0,1,2,0.0,0.0,1.0,False,0.47509,4,18.0,False,15.12,Adolescent,1,0.0,0.2258953168044075,0.0,0.0,0.0881542699724521,0.0,0.0,0.6584022038567491,0.0,0.0275482093663911,1.4520000000000004,0.7512479776709216
23,5,1,1,6,8,2,4,7,3,5,9,2.0,2.0,4.0,7.0,1.0,3.0,5.0,6.0,8.0,9.0,1.0,1,2,0.0,0.0,1.0,False,0.8809,5,18.0,False,15.12,Adolescent,1,0.0,0.3022598870056495,0.0,0.3615819209039551,0.0,0.0,0.3220338983050846,0.0,0.0,0.0141242937853107,1.416,0.996134543925272
23,6,1,3,6,8,1,5,7,2,4,9,3.0,2.0,4.0,9.0,1.0,3.0,5.0,6.0,7.0,8.0,1.0,1,2,0.0,0.0,1.0,False,1.2634,6,18.0,False,15.12,Adolescent,1,0.0,0.0,0.0,0.2687338501291988,0.1343669250645995,0.0,0.3204134366925064,0.0,0.0956072351421188,0.1808785529715763,1.548,0.5257214026631305
23,7,1,1,5,8,3,6,7,2,4,9,3.0,2.0,4.0,9.0,1.0,3.0,5.0,6.0,7.0,8.0,0.0,1,2,0.0,0.0,1.0,False,0.52625,7,18.0,False,15.12,Adolescent,1,0.0,0.0,0.0182926829268292,0.3231707317073174,0.0,0.0823170731707314,0.3902439024390244,0.0,0.0,0.1859756097560973,1.3119999999999998,0.3322786628736904
23,8,1,1,4,8,2,5,7,3,6,9,2.0,2.0,5.0,7.0,1.0,3.0,4.0,6.0,8.0,9.0,0.0,1,2,0.0,0.0,1.0,False,0.42968,8,18.0,False,15.12,Adolescent,1,0.0,0.1995249406175772,0.0,0.0,0.2351543942992875,0.0,0.201900237529691,0.0,0.0,0.3634204275534442,1.6840000000000006,0.8966067539592595
23,9,1,1,5,7,2,4,9,3,6,8,3.0,3.0,6.0,8.0,1.0,2.0,4.0,5.0,7.0,9.0,0.0,1,2,0.0,0.0,0.0,False,0.92338,9,18.0,False,15.12,Adolescent,1,0.0098039215686274,0.0065359477124183,0.0,0.4084967320261439,0.0,0.0,0.1960784313725492,0.1209150326797383,0.2287581699346404,0.0294117647058823,1.2239999999999998,0.23252354344798262
23,10,1,2,6,7,1,5,8,3,4,9,2.0,1.0,5.0,8.0,2.0,3.0,4.0,6.0,7.0,9.0,0.0,1,2,0.0,0.0,0.0,False,0.55373,10,18.0,False,15.12,Adolescent,1,0.0046620046620046,0.0069930069930069,0.0,0.0,0.198135198135198,0.0,0.3356643356643355,0.2074592074592076,0.0,0.247086247086247,1.7159999999999995,0.611740444960191
23,11,1,2,5,7,1,6,9,3,4,8,1.0,2.0,5.0,7.0,1.0,3.0,4.0,6.0,8.0,9.0,1.0,1,2,0.0,0.0,1.0,False,0.7216,11,18.0,False,15.12,Adolescent,1,0.0082191780821917,0.2520547945205481,0.0,0.0,0.2958904109589043,0.2027397260273973,0.0273972602739726,0.0,0.1863013698630135,0.0273972602739722,1.4600000000000002,0.7338719516538496
23,12,1,2,4,9,1,5,7,3,6,8,1.0,2.0,4.0,9.0,1.0,3.0,5.0,6.0,7.0,8.0,1.0,1,2,0.0,0.0,1.0,False,1.2475,12,18.0,False,15.12,Adolescent,1,0.0089887640449438,0.3820224719101124,0.0,0.0,0.0,0.0,0.2224719101123594,0.0,0.3752808988764045,0.0112359550561797,1.7800000000000002,0.6694049249721827
23,13,1,2,5,9,3,6,8,1,4,7,1.0,2.0,5.0,9.0,1.0,3.0,4.0,6.0,7.0,8.0,0.0,1,2,0.0,0.0,1.0,False,0.5745,13,18.0,False,15.12,Adolescent,1,0.0111111111111111,0.2916666666666669,0.0027777777777777,0.0,0.202777777777778,0.147222222222222,0.0166666666666666,0.0111111111111111,0.0083333333333333,0.308333333333333,1.4399999999999995,0.6579502855561934
23,14,1,3,4,8,1,6,9,2,5,7,3.0,2.0,5.0,7.0,1.0,3.0,4.0,6.0,8.0,9.0,1.0,1,2,0.0,0.0,1.0,False,0.54083,14,18.0,False,15.12,Adolescent,1,0.002710027100271,0.0,0.0,0.0,0.2276422764227643,0.0,0.3794037940379403,0.1842818428184283,0.0,0.2059620596205959,1.4760000000000004,0.641360721072598
23,15,1,1,6,9,2,5,7,3,4,8,3.0,3.0,4.0,8.0,1.0,2.0,5.0,6.0,7.0,9.0,1.0,1,2,0.0,0.0,0.0,False,0.69957,15,18.0,False,15.12,Adolescent,1,0.0,0.0,0.1146666666666667,0.1599999999999997,0.0026666666666663,0.0,0.4746666666666669,0.1946666666666667,0.0,0.0533333333333333,1.5000000000000004,0.7829105038195462
23,16,1,1,6,7,3,5,8,2,4,9,3.0,2.0,4.0,9.0,1.0,3.0,5.0,6.0,7.0,8.0,1.0,1,2,0.0,0.0,1.0,False,1.2026,16,18.0,False,15.12,Adolescent,1,0.0,0.1117824773413898,0.0090634441087613,0.1842900302114805,0.0,0.0,0.0422960725075528,0.0181268882175226,0.2930513595166161,0.3413897280966766,1.324,0.8340619651961821
23,17,1,3,4,7,2,6,8,1,5,9,1.0,3.0,4.0,7.0,1.0,2.0,5.0,6.0,8.0,9.0,0.0,1,2,0.0,0.0,0.0,False,0.63359,17,18.0,False,15.12,Adolescent,1,0.0,0.0128205128205128,0.0224358974358974,0.2820512820512818,0.0,0.1955128205128206,0.1826923076923077,0.2532051282051283,0.0,0.0512820512820512,1.2480000000000004,0.6851754346914319
23,18,1,1,5,7,3,4,9,2,6,8,3.0,2.0,6.0,8.0,1.0,3.0,4.0,5.0,7.0,9.0,1.0,1,2,0.0,0.0,1.0,False,0.64029,18,18.0,False,15.12,Adolescent,1,0.0128205128205128,0.0192307692307692,0.0,0.0032051282051282,0.0,0.1794871794871795,0.1730769230769231,0.3493589743589741,0.2147435897435897,0.048076923076923,1.2480000000000009,0.6842150823985316
23,19,1,2,5,8,1,4,9,3,6,7,1.0,2.0,5.0,8.0,1.0,3.0,4.0,6.0,7.0,9.0,1.0,1,2,0.0,0.0,1.0,False,0.9829,19,18.0,False,15.12,Adolescent,1,0.011142061281337,0.0,0.0,0.0083565459610027,0.3565459610027855,0.0,0.0,0.0,0.5097493036211699,0.1142061281337047,1.4359999999999995,0.3346977322406602
23,20,1,2,6,7,3,4,9,1,5,8,1.0,2.0,6.0,7.0,1.0,3.0,4.0,5.0,8.0,9.0,1.0,1,2,0.0,0.0,1.0,False,1.0524,20,18.0,False,15.12,Adolescent,1,0.0,0.2781609195402298,0.0,0.0045977011494252,0.0,0.1839080459770113,0.2551724137931034,0.0,0.2482758620689657,0.0298850574712643,1.74,0.9246719014669187
23,21,2,2,4,8,3,6,9,1,5,7,3.0,1.0,5.0,7.0,2.0,3.0,4.0,6.0,8.0,9.0,0.0,2,6,0.0,0.0,0.0,True,1.3494,1,7.0,False,15.12,Adolescent,1,0.0,0.1822429906542055,0.0046728971962616,0.1378504672897194,0.0,0.0,0.0,0.3200934579439256,0.0023364485981308,0.3528037383177568,1.7119999999999995,0.0
23,22,2,2,6,9,1,4,8,3,5,7,1.0,2.0,6.0,9.0,1.0,3.0,4.0,5.0,7.0,8.0,0.0,2,6,0.0,0.0,1.0,True,0.55658,2,7.0,False,15.12,Adolescent,1,0.0056022408963585,0.3697478991596635,0.0140056022408963,0.0,0.0,0.2212885154061626,0.1652661064425771,0.0056022408963585,0.1876750700280113,0.0308123249299719,1.4280000000000004,0.9244662598983113
23,23,2,1,6,9,2,5,7,3,4,8,1.0,1.0,6.0,9.0,2.0,3.0,4.0,5.0,7.0,8.0,1.0,2,6,0.0,0.0,1.0,True,1.2917,3,7.0,False,15.12,Adolescent,1,0.0,0.4174528301886792,0.0,0.0,0.1603773584905659,0.0,0.4056603773584907,0.0,0.0,0.0165094339622641,1.6960000000000004,0.0
23,24,2,2,5,8,1,6,9,3,4,7,2.0,1.0,6.0,9.0,2.0,3.0,4.0,5.0,7.0,8.0,1.0,2,6,0.0,0.0,1.0,True,1.2182,4,7.0,False,15.12,Adolescent,1,0.3429319371727745,0.0,0.0,0.0,0.0,0.1623036649214661,0.0,0.0,0.4764397905759163,0.0183246073298429,1.5279999999999998,0.924227196808822
23,25,2,3,5,9,1,6,7,2,4,8,2.0,1.0,6.0,7.0,2.0,3.0,4.0,5.0,8.0,9.0,0.0,2,6,0.0,0.0,1.0,True,1.7524,5,7.0,False,15.12,Adolescent,1,0.0,0.0165745856353591,0.005524861878453,0.3701657458563534,0.5690607734806631,0.011049723756906,0.0,0.011049723756906,0.0,0.0165745856353591,0.7239999999999998,0.04531432225182139
23,26,2,1,4,9,2,5,8,3,6,7,1.0,1.0,4.0,9.0,2.0,3.0,5.0,6.0,7.0,8.0,0.0,2,6,0.0,0.0,0.0,True,0.67176,6,7.0,False,15.12,Adolescent,1,0.1872340425531916,0.0,0.0,0.5106382978723399,0.0,0.0,0.0,0.0,0.2765957446808512,0.025531914893617,0.94,0.9214973642870722
23,27,2,2,6,8,3,4,7,1,5,9,1.0,2.0,6.0,8.0,1.0,3.0,4.0,5.0,7.0,9.0,1.0,2,6,0.0,0.0,1.0,True,0.70969,7,7.0,False,15.12,Adolescent,1,0.0,0.0189573459715639,0.0,0.0,0.0,0.2843601895734594,0.0,0.6729857819905215,0.0,0.0236966824644549,0.8439999999999999,0.6365181351245924
23,28,2,2,6,9,3,4,7,1,5,8,1.0,2.0,6.0,9.0,1.0,3.0,4.0,5.0,7.0,8.0,1.0,2,6,0.0,0.0,1.0,True,0.53196,8,7.0,False,15.12,Adolescent,1,0.1357142857142857,0.0,0.0,0.0,0.4404761904761902,0.0,0.0047619047619047,0.1619047619047617,0.0,0.2571428571428573,1.6800000000000002,0.0
23,29,2,3,4,9,2,5,8,1,6,7,3.0,1.0,6.0,7.0,2.0,3.0,4.0,5.0,8.0,9.0,0.0,2,6,0.0,0.0,1.0,True,0.89136,9,7.0,False,15.12,Adolescent,1,0.0,0.0,0.2231404958677687,0.5495867768595043,0.0,0.0,0.0,0.0,0.2148760330578508,0.012396694214876,0.9679999999999996,0.0
23,30,2,1,6,9,2,4,7,3,5,8,1.0,1.0,6.0,9.0,2.0,3.0,4.0,5.0,7.0,8.0,1.0,2,6,0.0,0.0,1.0,True,0.56151,10,7.0,False,15.12,Adolescent,1,0.0,0.0024449877750611,0.0488997555012225,0.0,0.8704156479217603,0.0,0.0,0.0317848410757946,0.0,0.0464547677261613,1.6359999999999997,0.0
23,31,2,1,4,8,2,5,9,3,6,7,3.0,3.0,6.0,7.0,1.0,2.0,4.0,5.0,8.0,9.0,1.0,2,6,0.0,0.0,1.0,True,0.84899,11,7.0,False,15.12,Adolescent,1,0.0,0.0,0.1395348837209301,0.0,0.0,0.7325581395348837,0.1186046511627907,0.0,0.0,0.0093023255813953,1.7199999999999998,0.6878198090194252
23,32,2,1,5,8,2,4,9,3,6,7,3.0,3.0,6.0,7.0,1.0,2.0,4.0,5.0,8.0,9.0,1.0,2,6,0.0,0.0,1.0,True,0.5676,12,7.0,False,15.12,Adolescent,1,0.2267303102625301,0.0,0.0,0.0,0.4940334128878285,0.0,0.0,0.2291169451073978,0.0,0.0501193317422434,1.6759999999999993,0.0
23,33,2,2,6,8,3,4,9,1,5,7,1.0,2.0,6.0,8.0,1.0,3.0,4.0,5.0,7.0,9.0,1.0,2,6,0.0,0.0,1.0,True,0.81435,13,7.0,False,15.12,Adolescent,1,0.0,0.4525139664804469,0.0,0.0893854748603352,0.0,0.3687150837988825,0.0,0.0558659217877095,0.0,0.0335195530726257,0.7159999999999996,0.8081608608841893
23,34,2,1,6,9,2,4,8,3,5,7,1.0,1.0,6.0,9.0,2.0,3.0,4.0,5.0,7.0,8.0,0.0,2,6,0.0,0.0,1.0,True,0.59681,14,7.0,False,15.12,Adolescent,1,0.0,0.0,0.0191846522781774,0.0,0.817745803357314,0.0,0.0335731414868105,0.0983213429256595,0.0,0.0311750599520383,1.668,0.0
