Trial,Block,Subj,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,TotalLookingTime
1,1,23,0.2239999999999999,0.2479999999999998,0.0,0.0,0.204,0.0,0.6839999999999999,0.0279999999999999,0.0,0.012,1.3999999999999995
1,1,26,0.0,0.0,0.0,0.0,0.208,0.0,1.7880000000000005,0.0,0.26,0.008,2.2640000000000002
1,1,27,0.0,0.0,0.1599999999999999,0.0,0.0,0.0,0.0,0.0,0.9159999999999999,0.068,1.144
1,1,28,0.496,0.0,0.0,0.0,0.032,0.0,0.0,0.264,0.4399999999999999,0.21999999999999992,1.452
1,1,29,0.0,0.0,0.0,0.008,0.004,0.2319999999999999,1.06,0.0,0.252,0.0,1.556
1,1,30,0.208,0.0,0.9120000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.2079999999999999,1.328
1,1,31,0.0,0.344,0.0,0.0,0.484,0.0,0.0,0.0,0.0,0.0,0.828
1,1,34,0.06,0.4600000000000002,0.244,0.0,0.2279999999999999,0.152,0.0,0.0,0.292,0.14,1.576
1,1,35,0.008,0.0,0.0,0.0,0.0,0.048,0.0,0.6000000000000001,0.2759999999999999,0.012,0.9440000000000001
1,1,36,0.0,0.356,0.0,0.0,0.0,0.3600000000000001,0.0,0.0,0.0,0.0039999999999999,0.72
1,1,37,0.0,2.024,0.0,0.0,0.112,0.0,0.0,0.008,0.0,0.144,2.2880000000000003
1,1,38,0.18,0.0,0.0,0.0,0.148,0.236,0.0,0.0,0.0,0.268,0.8320000000000001
1,1,39,0.0,0.0879999999999998,0.2199999999999999,0.0,0.0,0.0,0.0,0.0,0.2399999999999998,0.364,0.9119999999999995
1,1,40,0.0,0.0,0.252,0.4559999999999999,0.3960000000000001,0.0,0.348,0.18,0.0,0.04,1.6720000000000002
1,1,41,0.0,0.0,0.0,0.072,0.0,0.0,0.06,0.7959999999999998,0.388,0.1599999999999999,1.4759999999999998
1,1,42,0.0,0.0,0.172,0.0,0.0,0.9680000000000001,0.0,0.0,0.0,0.0,1.1400000000000001
1,1,43,0.0,0.0,0.524,0.0,0.56,0.0,0.0,0.0,0.0,0.0,1.084
1,1,44,0.0,0.0,0.0,0.0,1.3,0.3959999999999999,0.0,0.0,0.0,0.004,1.7
1,1,45,0.0,0.74,0.0,0.0,0.0,0.088,0.0,0.0199999999999999,0.004,0.052000000000000005,0.9039999999999999
1,1,46,0.0,1.676,0.0,0.0,0.0,0.0,0.492,0.236,0.0,0.004,2.408
1,1,47,0.0,0.0,0.0,0.0,0.0,0.1959999999999999,1.7880000000000005,0.28,0.0,0.008,2.2720000000000002
1,1,49,0.0,1.6640000000000001,0.0,0.0,0.192,0.324,0.0,0.0,0.0,0.0839999999999999,2.2640000000000002
1,1,53,0.5760000000000001,0.0,0.0,0.0,0.284,0.0,0.0,0.02,0.012,0.15200000000000002,1.044
1,1,54,0.0,0.0,0.164,0.0,0.0,0.0,0.0,0.0,0.016,0.568,0.748
1,1,55,0.7080000000000001,0.0,0.0,0.0,0.332,0.0,0.0,0.0,0.0,0.047999999999999904,1.0879999999999999
1,1,57,0.0,0.184,0.11999999999999991,1.944,0.012,0.0,0.096,0.43199999999999994,0.0,0.008,2.7960000000000003
1,1,60,0.0,0.008,0.044,0.004,0.0,0.3119999999999998,0.0,0.0,0.004,0.5959999999999999,0.9679999999999996
1,1,61,0.048,0.5,0.0,0.2759999999999999,0.0,0.156,0.0,0.0,0.02,0.0,1.0
1,1,62,0.0,0.0,0.0,0.4399999999999999,0.3399999999999999,1.7040000000000002,0.0,0.0,0.0,0.024,2.508
1,1,63,0.0,0.0,0.184,0.264,0.0,0.0,0.4559999999999999,0.204,0.0,0.0759999999999999,1.1839999999999997
1,1,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,68,0.0,0.0,0.1199999999999999,0.2889999999999999,1.1989999999999998,0.0,0.085,0.0,0.0,0.0459999999999999,1.7389999999999994
1,1,69,0.3600000000000001,0.0,0.0,0.0,0.008,0.0,0.3,0.0,0.0,0.031999999999999904,0.7000000000000001
1,1,70,0.8520000000000001,0.0,0.1559999999999999,0.0,0.0,0.0,0.028,0.0,0.0,0.3,1.336
1,1,71,0.031999999999999904,0.0,0.0,0.0,0.0,0.272,1.4720000000000004,0.0,0.156,0.0279999999999999,1.96
2,1,23,0.0,0.192,0.0,0.184,0.256,0.0,0.276,0.0,0.0,0.0239999999999999,0.9319999999999999
2,1,26,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.6799999999999999,0.172,1.232
2,1,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,28,0.0,0.02,0.0,0.0,0.0,0.008,0.0,0.3839999999999999,0.9680000000000001,0.23199999999999998,1.6119999999999999
2,1,29,0.0,0.0,0.0,0.0,0.2759999999999999,0.436,0.0,0.0,1.804,0.004,2.52
2,1,30,0.0,0.384,0.268,0.0,0.5479999999999999,0.0,0.0,0.0,0.0,0.0,1.2
2,1,31,0.172,0.0,0.0,0.28,0.188,0.0,0.0,0.0,0.0,0.256,0.896
2,1,34,0.1439999999999999,0.872,0.0,0.0,0.0,0.0,0.17200000000000001,0.0,0.0,0.059999999999999803,1.2479999999999998
2,1,35,0.0,0.0,0.0,0.1959999999999999,0.1399999999999999,0.156,0.0,0.2,0.008,0.008,0.7079999999999999
