,Subj,Trial,Game,Stim11,Stim12,Stim13,Stim21,Stim22,Stim23,Stim31,Stim32,Stim33,Choice,Chosen1,Chosen2,Chosen3,Unchosen1,Unchosen2,Unchosen3,Unchosen4,Unchosen5,Unchosen6,Outcome,Dim,Feat,CenterDim,CenterFeat,Correct,LearnedFeat,PoL,RT,WithinGameTrial,Adult,Age,Block,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10
0,23,1,1,1,6,8,2,5,7,3,4,9,2.0,2.0,5.0,7.0,1.0,3.0,4.0,6.0,8.0,9.0,1.0,1,2,,,1.0,True,,1.127,1,False,15.12,1,0.059322033898305065,0.23940677966101692,0.0,0.0,0.15042372881355942,0.0,0.44703389830508483,0.007415254237288111,0.0,0.09639830508474578
1,23,2,1,2,5,7,1,4,8,3,6,9,1.0,2.0,5.0,7.0,1.0,3.0,4.0,6.0,8.0,9.0,1.0,1,2,,,1.0,True,,1.0858,2,False,15.12,1,0.0,0.21262458471760798,0.0,0.053156146179401995,0.3787375415282391,0.0,0.13842746400885939,0.19712070874861584,0.0,0.01993355481727572
2,23,3,1,3,4,7,2,5,9,1,6,8,1.0,3.0,4.0,7.0,1.0,2.0,5.0,6.0,8.0,9.0,0.0,1,2,,,0.0,True,,1.2442,3,False,15.12,1,0.0,0.05163329820864065,0.09272918861959961,0.19283456269757646,0.0031612223393045315,0.0,0.40569020021074814,0.0,0.24236037934668075,0.011591148577449948
3,23,4,1,1,4,7,2,5,8,3,6,9,2.0,2.0,5.0,8.0,1.0,3.0,4.0,6.0,7.0,9.0,0.0,1,2,,,1.0,True,,0.47509,4,False,15.12,1,0.0,0.3626373626373626,0.0,0.0,0.12417582417582428,0.0,0.0,0.4879120879120878,0.0,0.025274725274725247
4,23,5,1,1,6,8,2,4,7,3,5,9,2.0,2.0,4.0,7.0,1.0,3.0,5.0,6.0,8.0,9.0,1.0,1,2,,,1.0,True,,0.8809,5,False,15.12,1,0.0,0.23967889908256879,0.003440366972477065,0.2557339449541286,0.0022935779816513767,0.0,0.4392201834862385,0.0,0.04243119266055043,0.017201834862385294
5,23,6,1,3,6,8,1,5,7,2,4,9,3.0,2.0,4.0,9.0,1.0,3.0,5.0,6.0,7.0,8.0,1.0,1,2,,,1.0,True,,1.2634,6,False,15.12,1,0.0,0.23978494623655905,0.0,0.11182795698924727,0.055913978494623685,0.0,0.33118279569892467,0.0,0.17311827956989248,0.08817204301075274
6,23,7,1,1,5,8,3,6,7,2,4,9,3.0,2.0,4.0,9.0,1.0,3.0,5.0,6.0,7.0,8.0,0.0,1,2,,,1.0,True,,0.52625,7,False,15.12,1,0.0,0.36092715231788086,0.006622516556291392,0.11699779249448135,0.0,0.09602649006622506,0.14569536423841062,0.0,0.18763796909492272,0.08609271523178798
7,23,8,1,1,4,8,2,5,7,3,6,9,2.0,2.0,5.0,7.0,1.0,3.0,4.0,6.0,8.0,9.0,0.0,1,2,,,1.0,True,,0.42968,8,False,15.12,1,0.0,0.1836065573770492,0.0,0.0,0.1672131147540984,0.0,0.4688524590163932,0.0,0.0,0.18032786885245908
8,23,9,1,1,5,7,2,4,9,3,6,8,3.0,3.0,6.0,8.0,1.0,2.0,4.0,5.0,7.0,9.0,0.0,1,2,,,0.0,True,,0.92338,9,False,15.12,1,0.003680981595092025,0.003680981595092025,0.1717791411042945,0.15337423312883436,0.0,0.17055214723926382,0.16687116564417187,0.14969325153374224,0.08957055214723922,0.09079754601226994
9,23,10,1,2,6,7,1,5,8,3,4,9,2.0,1.0,5.0,8.0,2.0,3.0,4.0,6.0,7.0,9.0,0.0,1,2,,,0.0,True,,0.55373,10,False,15.12,1,0.1457858769931663,0.0034168564920273353,0.0,0.0,0.1389521640091116,0.0,0.1651480637813211,0.37357630979498874,0.0,0.17312072892938488
10,23,11,1,2,5,7,1,6,9,3,4,8,1.0,2.0,5.0,7.0,1.0,3.0,4.0,6.0,8.0,9.0,1.0,1,2,,,1.0,True,,0.7216,11,False,15.12,1,0.003546099290780142,0.22695035460992916,0.0,0.0,0.44208037825059115,0.0874704491725769,0.07683215130023638,0.0,0.14420803782505903,0.018912529550827277
11,23,12,1,2,4,9,1,5,7,3,6,8,1.0,2.0,4.0,9.0,1.0,3.0,5.0,6.0,7.0,8.0,1.0,1,2,,,1.0,True,,1.2475,12,False,15.12,1,0.004343105320304018,0.4560260586319219,0.0,0.0,0.08143322475570033,0.0,0.1520086862106406,0.0,0.2942453854505972,0.011943539630835966
12,23,13,1,2,5,9,3,6,8,1,4,7,1.0,2.0,5.0,9.0,1.0,3.0,4.0,6.0,7.0,8.0,0.0,1,2,,,1.0,True,,0.5745,13,False,15.12,1,0.004449388209121247,0.24249165739710798,0.0011123470522803117,0.0,0.08120133481646281,0.058954393770856435,0.00667408231368187,0.004449388209121247,0.46718576195773087,0.13348164627363723
13,23,14,1,3,4,8,1,6,9,2,5,7,3.0,2.0,5.0,7.0,1.0,3.0,4.0,6.0,8.0,9.0,1.0,1,2,,,1.0,True,,0.54083,14,False,15.12,1,0.0011248593925759281,0.05961754780652417,0.0,0.0,0.09448818897637805,0.0,0.5286839145106862,0.07649043869516318,0.07311586051743527,0.16647919010123727
14,23,15,1,1,6,9,2,5,7,3,4,8,3.0,3.0,4.0,8.0,1.0,2.0,5.0,6.0,7.0,9.0,1.0,1,2,,,0.0,True,,0.69957,15,False,15.12,1,0.0,0.1892744479495268,0.04521556256572032,0.0630914826498422,0.0546792849631965,0.0,0.3501577287066248,0.2723449001051525,0.0,0.02523659305993691
15,23,16,1,1,6,7,3,5,8,2,4,9,3.0,2.0,4.0,9.0,1.0,3.0,5.0,6.0,7.0,8.0,1.0,1,2,,,1.0,True,,1.2026,16,False,15.12,1,0.0,0.19070904645476777,0.003667481662591688,0.17481662591687044,0.0,0.0,0.06234718826405869,0.08679706601466995,0.3031784841075794,0.1784841075794621
16,23,17,1,3,4,7,2,6,8,1,5,9,1.0,3.0,4.0,7.0,1.0,2.0,5.0,6.0,8.0,9.0,0.0,1,2,,,0.0,True,,0.63359,17,False,15.12,1,0.0,0.10911136107986502,0.23397075365579298,0.09898762654668161,0.0,0.06861642294713168,0.37007874015748027,0.08886389201349837,0.0,0.030371203599550027
17,23,18,1,1,5,7,3,4,9,2,6,8,3.0,2.0,6.0,8.0,1.0,3.0,4.0,5.0,7.0,9.0,1.0,1,2,,,1.0,True,,0.64029,18,False,15.12,1,0.004645760743321719,0.4018583042973286,0.003484320557491289,0.05691056910569108,0.05110336817653894,0.06504065040650413,0.06271777003484326,0.17421602787456442,0.15563298490127767,0.02439024390243894
18,23,19,1,2,5,8,1,4,9,3,6,7,1.0,2.0,5.0,8.0,1.0,3.0,4.0,6.0,7.0,9.0,1.0,1,2,,,1.0,True,,0.9829,19,False,15.12,1,0.004566210045662102,0.12100456621004567,0.0,0.0034246575342465765,0.1541095890410959,0.0,0.0,0.38470319634703204,0.2705479452054794,0.061643835616438346
