,aoi0_x,aoi0_y,aoi1_x,aoi1_y,aoi2_x,aoi2_y,aoi3_x,aoi3_y,aoi4_x,aoi4_y,aoi5_x,aoi5_y,aoi6_x,aoi6_y,aoi7_x,aoi7_y,aoi8_x,aoi8_y
Sub43_block_7,329,362,332,525,330,692,557,361,564,525,565,689,826,373,832,538,832,703
Sub61_block_1,353,347,357,511,353,678,549,350,556,517,563,681,810,341,818,505,827,672
Sub26_block_5,360,372,367,541,363,708,586,375,587,546,593,710,819,377,824,545,828,713
Sub29,413,377,403,541,393,706,610,376,627,546,638,713,896,372,902,542,902,709
Sub33_block_7,397,417,404,581,401,746,637,428,640,593,631,756,862,415,851,582,853,748
Sub68_block_2,323,395,310,568,275,731,561,375,554,543,543,715,822,351,795,522,805,702
Sub40_block_10,382,402,369,571,417,747,671,392,621,570,655,752,882,430,889,600,921,772
Sub36_block_2,389,355,367,518,370,684,598,348,596,511,604,676,848,352,848,519,855,683
Sub71_block_6,354,421,358,586,357,750,572,427,577,592,590,758,853,418,865,583,863,748
Sub63_block_8,391,378,391,546,386,709,627,380,628,545,634,710,855,384,860,548,861,710
Sub47_block_10,311,407,312,587,310,760,558,374,552,569,550,757,829,392,842,564,792,737
Sub46_block_2,411,370,413,540,411,705,633,380,638,545,639,712,889,376,893,542,894,707
Sub46_block_3,392,379,398,543,396,708,625,391,625,556,626,722,884,365,884,528,887,695
Sub63_block_9,388,375,391,541,389,704,607,382,610,545,614,710,852,377,858,541,859,706
Sub23_block_1,407,394,406,558,406,721,608,401,608,564,610,727,824,378,825,541,826,706
Sub71_block_7,360,427,364,590,364,755,612,433,620,597,625,761,864,432,872,599,872,762
Sub36_block_3,346,356,345,519,350,682,561,361,559,527,566,692,824,374,825,539,833,703
Sub53_block_1,416,361,418,527,412,691,618,355,622,519,623,686,889,354,888,518,891,682
Sub33_block_6,385,428,387,593,384,758,597,422,594,586,595,752,823,429,820,594,821,759
Sub68_block_3,298,374,292,541,281,711,508,362,517,529,532,695,775,373,770,538,786,705
Sub28,344,341,346,514,362,688,588,346,604,516,618,708,852,338,860,520,867,697
Sub26_block_4,392,366,395,537,394,706,585,378,591,546,602,716,831,386,836,555,841,724
Sub55_block_10,310,387,308,559,244,781,571,394,586,562,566,737,810,402,835,571,840,751
Sub43_block_6,331,403,339,567,341,729,558,394,568,558,574,722,822,374,831,541,837,707
Sub43_block_4,350,366,355,530,356,695,576,367,584,529,576,695,831,375,844,537,834,701
Sub58_block_9,350,379,348,544,349,708,567,389,569,552,571,716,809,391,802,556,803,721
Sub44_block_8,350,360,347,525,347,688,568,396,572,563,578,727,831,389,837,556,840,721
Sub26_block_6,384,378,385,544,383,711,574,386,584,555,591,723,819,371,822,550,827,720
Sub61_block_2,372,346,374,512,370,679,571,350,572,516,571,680,828,352,831,517,832,681
Sub68_block_1,373,357,337,569,366,744,583,393,558,570,577,748,811,431,825,602,839,776
Sub33_block_4,352,412,351,576,353,742,601,424,599,587,597,751,834,424,833,590,832,756
Sub28_block_9,383,298,381,496,385,666,608,329,616,500,617,668,855,288,858,484,842,652
Sub34_block_8,342,397,341,561,336,728,569,399,561,562,556,727,811,407,810,570,799,734
Sub53_block_3,395,362,405,527,391,694,611,366,617,530,624,695,878,365,879,528,880,695
Sub36_block_10,362,354,359,521,361,685,591,350,592,518,593,683,827,356,829,531,837,695
Sub63_block_10,383,360,392,525,386,693,634,362,633,538,638,703,898,360,900,525,898,696
Sub71_block_5,367,400,370,564,375,727,618,406,619,570,627,736,888,406,891,570,894,734
Sub36_block_1,312,413,307,578,316,741,575,401,569,566,573,731,825,405,826,570,826,732
Sub23_block_3,390,371,402,541,351,707,584,375,586,548,591,716,813,367,821,538,828,709
Sub31_block_10,377,371,380,535,385,699,602,375,602,540,601,705,837,375,837,539,839,703
Sub46_block_1,405,379,408,545,398,715,632,383,639,547,639,713,868,365,872,530,869,698
Sub23_block_2,404,388,405,553,403,717,610,386,612,553,615,717,843,355,851,525,849,692
Sub71_block_4,350,410,353,574,357,737,579,411,593,575,598,740,861,406,857,571,858,736
Sub53_block_2,389,361,393,525,384,691,608,361,625,531,626,696,879,361,879,526,884,689
Sub34_block_9,345,367,334,529,338,694,605,360,596,525,598,691,830,364,832,528,834,692
Sub28_block_8,379,321,384,503,383,670,585,335,590,508,620,679,812,344,852,518,882,690
Sub33_block_5,365,424,367,590,367,755,604,423,606,586,602,751,835,436,835,599,837,764
Sub71_block_10,368,434,371,600,371,765,588,437,593,602,598,767,861,440,863,605,858,768
Sub61_block_3,377,352,379,517,378,681,622,352,618,518,617,681,883,354,884,520,881,685
Sub26_block_7,379,350,382,522,386,690,608,362,610,528,616,695,839,360,839,528,846,697
Sub44_block_9,351,377,353,542,353,708,613,376,618,540,618,704,885,366,885,531,870,696
Sub58_block_8,377,378,376,543,379,709,616,383,617,547,623,710,832,394,837,557,834,720
Sub43_block_5,349,388,339,559,346,725,574,385,579,551,581,716,815,400,821,570,822,733
Sub23_block_10,354,437,356,608,341,777,550,445,555,618,567,788,817,451,824,628,823,796
Sub43_block_1,389,359,388,522,386,688,596,359,606,523,619,690,833,362,847,528,851,695
Sub26_block_3,368,367,374,530,377,696,565,366,577,535,585,702,808,375,810,543,817,710
Sub61_block_7,377,379,383,543,380,707,625,376,624,548,627,710,898,366,896,532,900,695
Sub33_block_1,377,411,375,574,373,738,593,423,588,585,591,750,826,422,826,587,827,752
Sub68_block_4,300,380,290,548,295,726,501,371,514,541,533,716,786,366,795,531,788,701
Sub31_block_8,394,367,395,529,399,693,614,355,612,520,617,685,884,357,883,522,880,687
